Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9595650,"Hexed (The Iron Druid Chronicles, #2)",Kevin Hearne,"Hearne, Kevin",,"=""0345522494""","=""9780345522498""",0,Del Rey,Mass Market Paperback,296,2011,2011,,2014/02/10,,,read,,,,1,0
18633478,"Shattered (The Iron Druid Chronicles, #7)",Kevin Hearne,"Hearne, Kevin",,"=""""","=""""",0,Del Rey,ebook,353,2014,2014,,2014/06/06,to-read,to-read (#29),to-read,,,,0,0
12395241,"Sworn in Steel (Tales of the Kin, #2)",Douglas Hulick,"Hulick, Douglas",,"=""0451464478""","=""9780451464477""",0,Ace,Mass Market Paperback,499,2014,2014,,2014/06/06,to-read,to-read (#28),to-read,,,,0,0
17910124,"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley,"Staveley, Brian",,"=""0765336405""","=""9780765336408""",0,Tor Books,Hardcover,480,2014,2014,,2014/06/06,to-read,to-read (#27),to-read,,,,0,0
17608111,"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan,"McClellan, Brian",,"=""0356502023""","=""9780356502021""",0,Orbit,Hardcover,596,2014,2014,,2014/06/06,to-read,to-read (#26),to-read,,,,0,0
18666047,"Half a King (Shattered Sea, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0804178321""","=""9780804178327""",0,Del Rey,Hardcover,336,2014,2014,,2014/06/06,to-read,to-read (#25),to-read,,,,0,0
18658063,"Fool's Assassin (The Fitz and The Fool Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""0007444176""","=""9780007444175""",0,Harper Voyager,Hardcover,630,2014,2014,,2014/06/06,to-read,to-read (#24),to-read,,,,0,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",0,Tor Books,Hardcover,376,2015,2015,,2014/06/06,to-read,to-read (#23),to-read,,,,0,0
8074907,"The Thorn of Emberlain (Gentleman Bastard, #4)",Scott Lynch,"Lynch, Scott",,"=""0575079584""","=""9780575079588""",0,Gollancz,Hardcover,512,,,,2014/06/06,to-read,to-read (#22),to-read,,,,0,0
12652457,"The Broken Eye (Lightbringer, #3)",Brent Weeks,"Weeks, Brent",,"=""0316235555""","=""9780316235556""",0,Orbit,Kindle Edition,688,2014,2014,,2014/06/06,to-read,to-read (#21),to-read,,,,0,0
10394348,"Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""1423389441""","=""9781423389446""",0,Brilliance Audio,Audio CD,,,,,2014/02/10,to-read,to-read (#3),to-read,,,,0,0
8940208,Shadow Chaser (Chronicles of Siala #2),Alexey Pehov,"Pehov, Alexey",,"=""0765324040""","=""9780765324047""",0,Tor Books,Hardcover,368,2011,2002,,2014/03/14,to-read,to-read (#19),to-read,,,,0,0
12160936,Shadow Blizzard (Chronicles of Siala #3),Alexey Pehov,"Pehov, Alexey",,"=""0765324059""","=""9780765324054""",0,Tor Books,Hardcover,464,2012,2003,,2014/03/14,to-read,to-read (#20),to-read,,,,0,0
17251814,"Die Karte der Welt (Die Karte der Welt, #1)",Royce Buckingham,"Buckingham, Royce",Michael Pfingstl,"=""""","=""9783442268849""",4.0,Blanvalet,Paperback,606,2013,2013,2014/02/27,2014/02/10,,,read,,,,1,0
15750588,The Legacy Of Lord Regret (Strange Threads #1),Sam Bowring,"Bowring, Sam",,"=""0733628125""","=""9780733628122""",5.0,Orbit,Paperback,421,2012,2012,,2014/02/11,,,read,,,,1,0
15847245,The Lord of Lies (Strange Threads #2),Sam Bowring,"Bowring, Sam",,"=""0733628273""","=""9780733628276""",0,Orbit,Paperback,373,2012,2012,,2014/02/11,to-read,to-read (#18),to-read,,,,0,0
18191460,"Prince of Fools (The Red Queen's War, #1)",Mark  Lawrence,"Lawrence, Mark",,"=""1101630930""","=""9781101630938""",0,Ace,Kindle Edition,367,2014,2014,,2014/02/11,to-read,to-read (#17),to-read,,,,0,0
15985373,"Emperor of Thorns (Broken Empire, #3)",Mark  Lawrence,"Lawrence, Mark",,"=""0425256855""","=""9780425256855""",0,Ace,Hardcover,434,2013,2013,,2014/02/11,to-read,to-read (#16),to-read,,,,0,0
17317908,"The Third Kingdom (Sword of Truth, #13; Richard and Kahlan, #2)",Terry Goodkind,"Goodkind, Terry",,"=""0007303718""","=""9780007303717""",3.0,Harper Voyager,Hardcover,527,2013,2012,,2014/02/11,,,read,,,,1,0
8598554,"The Omen Machine (Sword of Truth, #12; Richard and Kahlan, #1)",Terry Goodkind,"Goodkind, Terry",,"=""038566740X""","=""9780385667401""",4.0,Doubleday Canada,Hardcover,528,2011,2011,,2014/02/11,,,read,,,,1,0
604803,"Confessor (Sword of Truth, #11)",Terry Goodkind,"Goodkind, Terry",,"=""0765315238""","=""9780765315236""",4.0,Tor Books,Hardcover,603,2007,2007,,2014/02/11,,,read,,,,1,0
43884,"Phantom (Sword of Truth, #10)",Terry Goodkind,"Goodkind, Terry",,"=""0765305240""","=""9780765305244""",3.0,Tor Books,Hardcover,587,2006,2006,,2014/02/11,,,read,,,,1,0
43887,"Chainfire (Sword of Truth, #9)",Terry Goodkind,"Goodkind, Terry",,"=""0765344319""","=""9780765344311""",4.0,Tor Fantasy,Mass Market Paperback,748,2005,2005,,2014/02/11,,,read,,,,1,0
43893,"Naked Empire (Sword of Truth, #8)",Terry Goodkind,"Goodkind, Terry",,"=""0765344300""","=""9780765344304""",4.0,Tor Fantasy,Mass Market Paperback,725,2004,2003,,2014/02/11,,,read,,,,1,0
5038,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,"Goodkind, Terry",,"=""0765340747""","=""9780765340740""",3.0,Tor Books,Mass Market Paperback,725,2002,2001,,2014/02/11,,,read,,,,1,0
761732,"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,"Goodkind, Terry",,"=""0812551494""","=""9780812551495""",3.0,Tor Fantasy,Mass Market Paperback,788,2000,1999,,2014/02/11,,,read,,,,1,0
121127,"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,"Goodkind, Terry",,"=""081257639X""","=""9780812576399""",3.0,Tor,Mass Market Paperback,785,2001,2000,,2014/02/11,,,read,,,,1,0
253058,"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,"Goodkind, Terry","Dick Hill, Ferhan Ertürk","=""""","=""""",4.0,Brilliance Audio,Audio CD,822,2007,1997,,2014/02/11,,,read,,,,1,0
43892,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"Goodkind, Terry",,"=""0812551478""","=""9780812551471""",3.0,Tor Books,Mass Market Paperback,623,1997,1996,,2014/02/11,,,read,,,,1,0
